Радушие;+7 (499) 653–50–80
47nebo;+7–985–107–10–10
Городской отель;+7–916–696–77–95
Travel Inn;8–800–222–50–42
ARTIST;+7 (499) 490–89–35
МИШКА-хостел;+7 (495) 642–53–64
Yum Yum;+7–910–459–53–78
Хостелы Москвы;+7 (499) 348–18–62
Comfortpark;+7–915–107–50–00
ПЛЕД;+7–906–712–33–22
БельЭтаж Hostel;+7–985–996–06–02
РАДИО;8–800–222–40–86
СЕВЕРНАЯ ЗВЕЗДА;+7 (499) 348–19–90
Пионер Эстейт, ООО;+7 (499) 207–55–50
Хостел на Мясницкой;+7 (495) 943–80–01
ГородОтель;8–800–775–22–82
Хорошие Новости;+7–977–851–10–50
Москва;+7 (495) 699–93–99
Преображенка;+7–916–264–03–88
Сеть хостелов №1;8–800–500–60–86
Hostel Clever;+7–929–658–60–68
Меридиан;+7–985–875–81–10
Уютный;+7–903–150–49–84
Comeback;+7–906–044–88–99
Hotel-city;+7–925–924–16–87
Buran Capsule Hotel;+7–977–145–80–11
Nice Hostel Kurskaya;+7–977–424–18–74
HotelJet;+7 (499) 110–39–40
Hygge hostel;+7 (499) 963–83–36
Netizen;+7 (495) 150–06–70
Макаров Хостел;+7–917–526–43–12
Дерево;+7 (499) 136–45–03
Уютный дом;+7–968–435–55–51
Привет;+7 (495) 649–67–36
Кеды;+7 (499) 714–64–55
Nereus;+7 (495) 123–30–66
Винегрет;+7 (495) 690–67–56
Gindza Hostel Sretenka;+7 (499) 399–33–42
ICON hostel;+7 (499) 397–00–16
Заходи!;+7 (495) 120–13–63
Karlov Most;+7–916–411–17–39
Сон в кубе;+7 (499) 288–18–50
Nice Hostel Komsomolskaya Loft;+7–985–115–00–05
Nice Hostel Paveletskaya;+7–985–032–59–16
Есенин;+7 (495) 220–67–22
Лофт;+7–958–222–21–55
FORMA;+7 (495) 142–77–19
Фасоль;+7 (495) 240–94–09
Movies;+7 (495) 131–23–51
Jedi Hostel;+7–929–681–00–41
Тихий Час;+7 (499) 391–47–41
Centeral Hotel & Hostel;+7–962–998–21–90
Napoleon Hostel;+7 (495) 624–59–78
ДобролюбовЪ;+7 (495) 142–99–07
Бокстел;+7–968–889–02–80
Ель;+7 (499) 397–85–61
Red Kremlin Hostel;+7 (499) 350–31–09
say Wow;+7 (495) 281–53–43
Сердце Столицы;8–800–707–54–50
Айпроспали!;+7 (495) 774–71–54
Yes Sport;+7 (495) 088–04–99
Калинка;+7 (499) 705–12–02
Портал;+7–985–123–45–71
Good Mood Hostel;+7–985–962–26–35
Safari Hostel;+7 (495) 650–48–89
Qube Capsule Hotels;+7–977–737–05–67
УголОК;+7 (495) 792–84–56
Roofhostel;+7 (495) 623–50–55
High Level;+7–963–757–95–33
Kon-Tiki;+7–916–752–32–76
Арт Хаус;+7–925–877–84–85
